Bno,Bname,Author,price,publ,qty,d_o_purchase
383,INDIA IN 1933-34`,MRIDULA SARABHAI,196,"MANAGER OF PUBLICATIONS, DELHI",2,1935
384,AN ARABIC HISTORY OF GUJRAT,E. DENISON ROSS,,"JOHN MURRAY, LONDON",4,1910
385,MY COLLECTION OF SEPOY WAR 1857-58,MRS MUTER,266,"JOHN LONG LIMITED, LONDON",5,
386,SELECTION FROM NOTEBOOK KEPT G. BRICK,CAPTAIN G. BIRCH,146,"THE SUPERINTENDENT, GOVERNMENT PRINTING, PUNJAB",1,1921
387,SAMPOORN GANDHI VAYAMAY,…,565,"SUCHNA PARSARAN MANTRALAYA, NEW DELHI",1,1965
388,DOCUMENTS ON KASHMIR,…,270,…,1,
389,RESEARCH AND DISCOVERY,…,103,MODERN WORLD SERIES,3,
390,LABOUR MANAGEMENT CORPORATION IN FRANCE,,237,THE INTERNATIONAL LABOUR OFFICE GENEVA,5,1950
391,THE INDIAN MUTINY 1857-1858,G. W. FORREST,,CALCUTTA,1,1902
392,ALL INDIA RURAL CREDIT SURVEY,…,578,BOMBAY,4,1954
393,HISTORY OF SERVICES OF GAZZETTED OFFICERS,…,1275,"OFFICE OF THE ACCOUNTANT GENERAL, PUNJAB",4,1956
394,BHAGAT SINGH KI RAAH PAR,A.MB. BARDHAN,46,"AKHIL BHARATIYA NAUJAWAN FEDERATION, NEW DELHI",2,1984
395,CIRCULARS OF THE BOARD OF REVENUE OF UNITED PROVINCES,…,,…,2,1907
396,SURVEY OF INDIA TECHNICAL REPORT 1948-49,…,73,"BRIGADIER G.F. HEANEY, SURVEYER GENERAL OF INDIA",3,1951
397,"BUREAU OF EDUCATION, INDIA",…,129,"THE MANAGER, GOVERNMENT OF INDIA PRESS, NEW DELHI",4,1941
398,THE BULLETIN OF STATE BOARD FACILITIES OF INDIAN MEDICAL,ASHUTOSH MAJUMDAR,43,"RAMESH CHANDRA AGARWAL, THE COUNCIL OF STATE BOARDS & FACULTIES OF INDIAN MEDICINE, NEW DELHI",3,1962
399,DEMANDS FOR GRANTS EXP. OF C. GOVERNMENT,…,523,"GOVERNMENT OF INDIA PRESS, NEW DELHI",3,1958
400,BRITAIN: AN OFFICIAL HANDBOOK,…,588,"THE CENTRAL OFFICE OF INFORMATION, LONDON",1,1962
401,EDUCATION IN INDIA IN 1934-35,…,137,"MANAGER OF PUBLICATIONS, DELHI",4,1937
402,THE FIRST FIVE YEAR PLAN,PLANNING COMMISSION GOVERNMENT OF INDIA,295,PLANNING COMMISSION GOVERNMENT OF INDIA,1,1951
403,THIRD FIVE YEAR PLAN,PLANNING COMMISSION GOVERNMENT OF INDIA,265,PLANNING COMMISSION GOVERNMENT OF INDIA,2,1960
404,SWATANTRATA KE LIYE SHIKSHA,…,35,THE UNITED STATES INFORMATION SERVICE,5,
405,DISTRICT GAZETTEE OF THE UNITED PROVINCES,H.R. NEVIL,588,"THE GOVERNMENT BRANCH PRESS, LUCKNOW",4,1946
406,PUNJAB DISTRICT GAZZETTES,…,,"AUTHORITY OF THE PUNJAB GOVERNMENT, LAHORE",3,1912
407,DEMANDS FOR GRANTS FOR THE YEAR 1956-57,…,303,"THE MANAGER, GOVERNMENT OF INDIA PRESS, NEW DELHI",1,
408,PUNJAB DISTRICT GAZETTES,…,,"AUTHORITY OF THE PUNJAB GOVERNMENT, LAHORE",4,1913
409,SPEECHES BY SAMUEL HOARNE 1931-35,…,145,LONDON,3,1935
410,DRAFT CONSTITUTION OF INDIA,DRAFTING COMMITTEE,214,"GOVERNMENT OF INDIA PRESS, NEW INDIA",3,1948
411,SECOND FIVE YEAR PLAN,…,196,PLANNING COMMISSION GOVERNMENT OF INDIA,4,1956
412,(PET) COMPLETION OF FUNDAMENTAL RULES,…,216,"GOVERNMENT OF INDIA PRESS, NEW INDIA",4,1945
413,HISTORY OF LATIN AMERICA,SAMUEL GUY INMAX,235,"THE UNITED STATES ARMED FORCES, THE MACMILLAN COMPANY",4,1944
414,DOCUMENT OF KASHMIR,T. BAINBRIDGE FLETCHER,193,"THE MANAGER, GOVERNMENT OF INDIA PRESS, NEW DELHI",3,
415,INDIAN LABOUR YEAR BOOK 1946,SHRI JAGJIVANRAM,299,"MANAGER OF PUBLICATIONS, CIVIL LINES, DELHI",5,1948
416,INDIAN ROAD CONGRESS,…,135,THE INDIAN ROADS CONGRESS,1,1937
417,INDIAN ROUND TABLE CONFERENCE,…,99,"GOVERNMENT OF INDIA, CALCUTTA",1,1931
418,LIST OF GAZETTED OFFICER OF C.B. OF REVENUE OFFICERS,…,152,"MANAGER OF PUBLICATIONS, DELHI",5,1941
419,EDUCATION IN INDIA IN 1938-39,…,138,"MANAGER OF PUBLICATIONS, DELHI",5,1941
420,AGRICULTURE SITUATION IN INDIA,…,102,GOVERNMENT OF INDIA,5,1949
421,DOCUMENT OF KASHMIR,…,376,…,4,
422,BHARAT KA SAVIDHAN,…,,…,5,1950
423,THE CONSTITUTION OF INDIA,…,298,…,3,
424,UNESCO SEMINAR,…,262,"MINISTRY OF EDUCATION, GOVERNMENT OF INDIA",4,1949
425,EDUCATION IN INDIA 1934-35,…,137,"MANAGER OF PUBLICATIONS, DELHI",3,1937
426,A NEW SLAVERY FORCED LABOUR,ROGER N. BALDWIN,158,OCEANA PUBLICATIONS,2,1953
427,THE SINO INDIAN DISPUTE,…,64,"PUBLICATIONS DIVISION, MINISTRY OF INFORMATION AND BROADCASTING,M GOVERNMENT OF INDIA",3,1963
428,"LAND ACQUISITION ACT, 1894 TOGETHER WITH STATE AMENDMENTS",…,116,"EASTERN BOOK COMPANY, LUCKNOW",2,1995
429,THE WAR CAUSES AND ITS MESSAGE,…,39,"METHUEN & CO. LTD, LONDON",4,1914
430,CONFIDENTIAL LIST OF SMUGGLER OF OPIUM,…,106,"OFFICE OF THE SUPERINTENDENT, GOVERNMENT PRINTING BURMA",5,1921
431,CRAMDON MOVEMENT HANDBOOK,PLANNING COMMISSION GOVERNMENT OF INDIA,149,PLANNING COMMISSION GOVERNMENT OF INDIA,2,1964
432,CATELOGUE OF CIVIL PUBLICATION,GOVERNMENT OF INDIA CENTRAL PUBLICATION BRANCH,260,"GOVERNMENT OF INDIA CENTRAL PUBLICATION BRANCH, DELHI",5,1937
433,RURAL CREDIT AND COOPERATION JAMIA DEVELOPMENT,Q.U.KHAN,110,"THE JAMIA INSTITUTE OF AGRICULTURAL ECONOMICS AND RURAL SOCIOLOGY, DELHI",4,1960
434,THE INDIAN INSURANCE YEAR BOOK 1950,…,258,…,1,1950
435,"REGULATION FOR THE ARMY IN INDIA RESERVE OFFICER, 1939",…,57,DELHI,1,1939
436,HISTORY OF THE SERVICES OF GAZETTED OFFICERS,…,242,ALLAHABAD,1,1947
437,THE FIRST FIVE YEAR PLAN,…,671,PLANNING COMMISION,2,1952
438,SHORT A/C OF LIFE AND FAMILY OF JEEWANLAL BAHADUR,..,220,"THE TRIBUNE, STEAM PRESS, LAHORE",2,1911
439,ALL INDIA RURAL CREDIT SURVEY VOL I,…,1067,"M.D. BHAT, RESERVE BANK OF INDIA",2,1956
440,AN INTRODUCTIONARY HISTORY OF PERSIAN LITERATURE,JOEL WAIZ LAL,170,"THE IMPERIAL BOOK DEPOT PRESS, DELHI",1,1914
441,KURUKSHETRA,C.RAJAGOPALACHARI,525,"THE DIRECTOR, PUBLICATION DIVISION, DELHI",4,1955
442,MUGHAL SASHKO KI DHARMIK NITI,SHRI RAM SHARMA,239,"S. CHAND & COMPANY, NEW DELHI",5,1967
443,INDIAN EDUCATION IN 1914-15,…,77,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",5,1916
444,QUARTERLY DIGEST OF ECONOMIC STATISTICS,SHRI RAM SHARMA,96,"STATISTICAL OFFICER & STATISTICS AUTHORITY, DELHI STATE",2,1955
445,AUTHOR CATALOGUE OF PRINTING BOOK IN EUROPEANLITERATURE,SHRI RAM SHARMA,415,"GOVERNMENT OF INDIA PRESS, CALCUTTA",1,1942
446,BRITISH ENACTMENT IN FORCE IN NATIVE STATE,J. M MACPHERSON,775,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",3,1914
447,JAPAN TRADE GUIDE,JIJI TUSHIN SHA,663,"JIJI TSUSHINN SHA, TOKYO",3,1952
448,PUNJAB GAZETTEERS MANDI STATE,PUNJAB GOVERNMENT,205,"PUNJAB GOVERNMENT, LAHORE",4,1920
449,THE TABAQAT-I-AKBARI,KHWAJAH NIZAMUDIN AHMAD,840,CALCUTTA,5,1926
450,KURUKSHETRA KE PRAMUKH TEERTH,…,281,"LOK SAMPARK, HARYANA",5,
451,SHRI GEORGE PRASHASTI,PT. PARMANAND PANDEY,184,DELHI,4,1955
452,THE TRIBES AND CASTES OF THE CENTERAL PROVINCES OF INDIA,R.V. RUSSEL,589,"MACMILLAN AND CO. LIMITED, LONDON",1,1916
453,THE MAATHIR-UL-UMARA,SAMSAM-UDDAULA KHAN,840,"THE ROYAL ASLATIC SOCIETY OF BENGAL, CALCUTTA",4,1941
454,INDIA IN 1923-24,L.F. RUSHBROOK WILLIAM,338,"GOVERNMENT OF INDIA, CENTRAL PUBLICATION BRANCH, CALCUTTA",4,1924
455,THE TUZUK-I-JAHANGIRI MEMOIRS OF JAHANGIR VOL XXII,HENRY BEVERIDGE TRANSLATED BY ALEXANDER ROGERS,315,"ROYAL ASIATIC SOCIETY, LONDON",5,1941
456,A NEW TIBETO MANGOL PANTHEON PART 16,DR RAGHUVIRE L CHANDRA,,INTERNATIONAL ACADEMY OF INDIAN CULTURE,2,1967
457,A NEW TIBETO MANGOL PANTHEON PART 17,DR RAGHUVIRE L CHANDRA,,INTERNATIONAL ACADEMY OF INDIAN CULTURE,3,1969
458,A NEW TIBETO MANGOL PANTHEON PART 15,DR RAGHUVIRE L CHANDRA,,INTERNATIONAL ACADEMY OF INDIAN CULTURE,3,1967
459,THE COLLECTED WORKS OF BU STON PART 27,PROF LOKESH CHANDRA,67,INTERNATIONAL ACADEMY OF INDIAN CULTURE,5,1971
460,THE COLLECTED WORKS OF BU STON PART 28,PROF LOKESH CHANDRA,68,INTERNATIONAL ACADEMY OF INDIAN CULTURE,4,1971
461,THE COLLECTED WORKS OF BU STON PART 17,"DR RAGHUVIR, L CHANDRA",,INTERNATIONAL ACADEMY OF INDIAN CULTURE,2,1969
462,A NEW TIBETO MANGOL PANTHEON PART 13,PROF. LOKESH CHANDRA,26,INTERNATIONAL ACADEMY OF INDIAN CULTURE,3,1967
463,THE COLLECTED WORKS OF BU STON PART 16,"DR RAGHUVIR, L CHANDRA",,INTERNATIONAL ACADEMY OF INDIAN CULTURE,4,1969
464,THE COLLECTED WORKS OF BU STON PART 15,"DR RAGHUVIR, L CHANDRA",,INTERNATIONAL ACADEMY OF INDIAN CULTURE,4,1969
465,THE COLLECTED WORKS OF BU STON PART 11,"DR RAGHUVIR, L CHANDRA",,INTERNATIONAL ACADEMY OF INDIAN CULTURE,2,1968
466,THE COLLECTED WORKS OF BU STON PART 12,"DR RAGHUVIR, L CHANDRA",,INTERNATIONAL ACADEMY OF INDIAN CULTURE,3,1968
467,THE COLLECTED WORKS OF BU STON PART 11,"DR RAGHUVIR, L CHANDRA",,INTERNATIONAL ACADEMY OF INDIAN CULTURE,1,1967
468,THE COLLECTED WORKS OF BU STON PART 9,"DR RAGHUVIR, L CHANDRA",,INTERNATIONAL ACADEMY OF INDIAN CULTURE,3,1969
469,THE COLLECTED WORKS OF BU STON PART 7,"DR RAGHUVIR, L CHANDRA",,INTERNATIONAL ACADEMY OF INDIAN CULTURE,5,1967
470,THE COLLECTED WORKS OF BU STON PART 6,"DR RAGHUVIR, L CHANDRA",,INTERNATIONAL ACADEMY OF INDIAN CULTURE,1,1966
471,THE COLLECTED WORKS OF BU STON PART 5,"DR RAGHUVIR, L CHANDRA",,INTERNATIONAL ACADEMY OF INDIAN CULTURE,2,1966
472,THE COLLECTED WORKS OF BU STON PART 8,"DR RAGHUVIR, L CHANDRA",,INTERNATIONAL ACADEMY OF INDIAN CULTURE,2,1969
473,FLORA OF THE RESIDENCY OF MADRAS,C E C FISCHER,154,AUTHORITY OF THE SECREATRY OF STATE FOR INDIA IN COUNCIL,5,1931
474,"INDIAN CONSTITUTIONAL REFORMS GOVERNMENT OF INDIA'S DESPATCH OF MARCH 5TH, 1919 AND CONNCETED PAPERS",…,358,"GOVERNMENT OF INDIA, CENTRAL PUBLICATION BRANCH, CALCUTTA",5,1928
475,THE FIFTH YEAR,…,275,"PUBLICATION DIVISION MINISTRY IF INFORMATION AND BROADCASTING, GOVERNMENT OF INDIA",5,1952
476,ROPE,B.R. MULLIK,74,"S.CHAND & CO., DELHI",2,1964
477,BHARTIYA SANYOJAN ME SAMAJVAAD,SRIMANNARAYAN,195,"SASTA SAHITYA MANDAL, NEW DELHI",1,1966
478,FORTH YEAR,…,315,"PUBLICATION DIVISION MINISTRY IF INFORMATION AND BROADCASTING, GOVERNMENT OF INDIA",5,1951
479,THE FALL OF MUGHAL EMPIRE OF HINDUSTAN,H.G. KEENE,209,W.H. ALLEN & CO. LONDON,2,1887
480,SECOND CENSUS OF MANUFACTURING INDIA,H.G. KEENE,336,"MANAGER, PUBLICATION, DELHI",2,1949
481,THE SEPOY REVOLT,LT GEN MCLEOD INNES,319,A.D. INNES & CO. LONDON,5,1897
482,A SELECTION FROM THE DECISION FROM THE CHAIR,B.F. MADAN,209,"SUPERINTENDENT GOVERNMENT PRINTING, BOMBAY",2,1946
483,THE IRON AGES IN INDIA,N. R. BANERJEE,,"MUNSHI MANOHARLAL, ORIENTAL PUBLISHERS & BOOSELLERS, DELHI",4,1965
484,STATUTORY CONSTRUCTION,FRANCIS J. MECAFFREY,186,"CENTRAL BOOK COMPANY, NEW YORK",1,1953
485,BYE LAWS RULES & DIRECTIONS,FRANCIS J. MECAFFREY,358,DELHI,3,
486,LOCAL SELF GOVERNMENT ADMN IN STATES OF INDIA,…,161,"GOVERNMENT OF INDIA, MIMNISTRY OF HEALTH",2,1962
487,HOURS OF WORK IN COAL MINES,…,58,"INTERNATIONAL LABOUR OFFICE, GENEVA",2,1949
488,HALF YEARLY LIST OF THE INIDAN POLITICAL SERVICE,…,173,GOVERNMENT OF INDIA,1,1942
489,PUBLIC HEALTH REPORT OF DELHI PROVINCE,…,76,GOVERNMENT OF INDIA,2,1933
490,REVIEW OF THE FINANCES OF THE DELHI COMMITTEE,…,70,"GOVERNMENT OF INDIA, SIMLA",2,1937
491,MANUAL INSTRUCTION TO OFFICER OF POLITICAL SEPOY,…,223,"GOVERNMENT OF INDIA PRESS, SIMLA",2,1924
492,FORM ACCOUNTS IN THE PUNJAB,SARDAR KARTAR SINGH,249,LAHORE,1,1932
493,DELHI FIRE SERVICE INSTRUCTION,SARDAR KARTAR SINGH,8,DELHI,1,
494,MODERN WATER TREATMENT PLANTS,SARDAR KARTAR SINGH,112,"PATERSON ENGINEERING COMPANY LIMITED, LONDON",4,1932
495,INTERNATIONAL TRADE & DEVELOPMENT,SADERSHANK SAVARA,272,"NAVA BHARAT ENTERPRISES (PVT) LTD., NEW DELHI",5,1968
496,GANDHI VYAKTATIVA VICHAR OR PRABHAV,"KAKA SAHAB KALKELKAR, BANARSIDAS CHATURVEDI",600,GANDHI SMARAK N IDHI & SASTA SAHITYA MANDAL,3,1968
497,INDIA'S EXCHANGE PROBLEM,B.F. MADAN,70,BOMBAY,3,1925
498,DELHI HEALTH DEVELOPMENT PLAN,LT COL A.N. CHOPRA,116,GOVERNMENT OF INDIA,4,1945
499,PANT KE DO SAU PATRA BACHPAN KE NAAM,DR. HARIVANSH RAI BACHCHAN,271,"SUNMARG PRAKASHAN, DELHI",5,1971
500,CONSOLIDATED INDORE TO THE COUNCIL OF STATE DEBATE,…,96,"GOVERNMENT OF INDIA, CALCUTTA",2,1928
501,DEVELOPMENT DIRECTORY OF SMALL SCALE INDUSTRIES,…,234,"THE SUPERINTENDENT, GOVERNMENT PRESS, MADRAS",2,1954
502,DETAILED PROCEEDING OF THE II MEETING OF C. HEAD,…,164,…,3,1954
503,SUMMARY PROCEEDING OF COTTON COMITTEE,…,114,..,1,1935
504,PROTECTION OF YOUNG WORKERS ON INLAND WATERWAYS,…,73,"INTERNATIONAL LABOUR OFFICE, GENEVA",1,1949
505,FIVE TECHNICAL REPORT ON FOOD AND AGRICULTURE,…,313,WASHINGTON,5,1945
506,BANKING ENQ. COMITTEE FOR THE CENTRALLY ADMIN AREA,…,322,"GOVERNMENT OF INDIA, CENTRAL PUBLICATION BRANCH, CALCUTTA",3,1930
507,BHAGAT SINGH AUR DUTT KI AMAR KAHANI,",,,",,DELHI,4,
508,THE UNREPEATED CENTRAL ACTS,…,595,"MANAGER OF PUBLICATIONS, DELHI",1,1938
509,MANUAL OF BUSINESS & PROCEEDING,…,186,"MANAGER OF PUBLICATIONS, DELHI",3,1938
510,CENTRAL GOVERNMENT COMMERCIAL APPENDIX TO APPROPRATION OF A/C,…,206,DELHI,4,1940
511,BULLETIN OF INDIAN INDUSTRIES & LABOUR,…,92,"GOVERNMENT OF INDIA, DELHI",3,1936
512,PUNJAB FOREST MANUAL I,…,175,"SUPERINTENDENT, PUNJAB PRINTING, LAHORE",2,1916
513,PILLARS OF LIFE,SHRI VISHWANATH KESKAR,,"SHRI VISHVANATH KESKAR, POONA",4,
514,INDIAN HISTORICAL RECORD COMMISSION,GOVERNMENT OF INDIA,147,"GENERAL MANAGER, GOVERNMENT OF INDIA PRESS, NEW DELHI",5,1960
515,IMPERIAL RECORD DEPTT INDEX TO REVENUE BOARD,…,125,"MANAGER OF PUBLICATIONS, DELHI",3,1940
516,2nd FIVE YEAR PLAN OF DELHI,…,321,"THE DIRECTORATE OF PUBLIC RELATIONS, DELHI",3,
517,HISTORY OF INDIA,H.M. ELLIOT & JOHNSON DOWSON,541,LONDON,3,1867
518,CATALOGUE OF BOOK IN THE LIBRARY OF BIHAR LEGISTRATURE,…,309,"SUPERINTENDENT, GOVERNMENT PRINTING, BIHAR",5,1938
519,THE NEW INDIA,GOVERNMENT OF INDIA,412,"THE MACMILLAN COMPANY, LONDON",5,1958
520,SENATE MANUAL,…,156,GOVERNMENT PRINTING OFFICE WASHINGTON,2,1938
521,PROCEEDING OF MEETING I.H.P.C IV,…,109,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",2,1922
522,2nd FIVE YEAR PLAN OF DELHI,…,321,"THE DIRECTORATE OF PUBLIC RELATIONS, DELHI",2,
523,THE INDIAN LABOUR YEAR BOOK 1947-48,GOVERNMENT OF INDIA,296,"MANAGER, GOVERNMENT OF INDIA, SIMLA",5,1949
524,INDIA 1959,…,562,"DIRECTOR, PUBLICATION DIVISION, DELHI",3,1959
525,CALENDAR PERSON CORRESPONDANCE,…,365,"GOVERNMENT OF INDIA, CENTRAL PUBLICATION BRANCH, CALCUTTA",1,1925
526,"BOMBAY ACT NO. 111 OF 1888, THE CITY OF BOMBAY MUNCIPAL ACT 1888",,414,BOMBAY,1,1936
527,THE BOMBAY MUNCIPALITY AT WORK,CLIFFORD MANSHARDT,125,D.B. TARAPOREWALA SONS & CO. BOMBAY,3,1935
528,LEGAL ASPECT OF KASHMIR PROBLEMS,H.S. GOON RAJ RAO,377,"ASIA PUBLISHING HOUSE, BOMBAY",5,1967
529,SHADOW OF THE BEAR,AP JAIN,176,"P.K.DEO, NEW DELHI",3,1971
530,IMPACT OF FOREIGN CAPITAL ON INDIAN ECO,K. MATHEW KURIAN,354,"PEOPLE'S PUBLISHING HOUSE, NEW DELHI",4,1966
531,DILLI MAHANGAR PARISHAD,…,80,"SOOCHNA AVEM PRASAR NIDESHALAYA, DELHI",5,1972
532,SANSAR KI PRAMUKH SHASAN PRANALIA,ANOOP CHAND KAPOOR,976,"S. CHAND & COMPANY, NEW DELHI",1,1966
533,THE NEHRU LEGACY OF SYMPOSIUM,"K. KAMRAJ, M.C. SETALVAD",81,"NATIONAL BOOK CLUB, NEW DELHI",3,1966
534,USAR ME HARIYALI,"P.L. BEDI, RAJA PANDEY",,"SHRIMATI KRISHNA AFTAB RAI, NEW DELHI",5,
535,SOCIAL FACTORS IN THE BIRTH GROWTH OF INCM,R.P. DUA,163,S. CHAND & CO. NEW DELHI,5,1967
536,KASHMIR: A STUDY IN INDIA PAKISTAN RELATION,SISIR GUPTA,511,"ASIA PUBLISHING HOUSE, BOMBAY",2,1966
537,FINANCIAL COMMITTEE ON INDIAN PARLIAMENT,R.N AGARWAL,815,S. CHAND & CO. NEW DELHI,3,1966
538,SUPREME COURT ENCYCLOPAEDIA,R. GOPAL KRISHNAN,490,"R. GOPALAKRISHNAN, NEW DELHI",4,1966
539,SIMPLE STUDY OF HISTORY OF MEDIEVAL INDIA,PROF WISHAN DAS,631,"JIWAN PRAKASHAN EDUCATIONAL PUBLISHERS, DELHGI CHANDIGARH JULLUNDUR",3,1967
540,A HISTORY OF ENGLISH LITERATURE,W. R. GOODMAN,933,"SOM DUTT PURI, DELHI",3,1965
541,A SHORT HISTORY OF INVESTMENT,PERCY RIPLY,388,"SIR ISSAC PITMAN & SONS, LTD. LONDON",2,1934
542,HANDBOOK OF COMMERCIAL INFORMATION INDIA,…,474,"MANAGER OF PUBLICATIONS, DELHI",4,1937
543,THE INDIAN ARMS ACT MANUAL,…,194,ASSAM ADMINISTRATION,5,1916
544,HISTORY OF EDUCATIONAL THOUGHT,ROBERT UPICH,412,EURASIA PUBLISHING HOUSE (P) LTD. NEW DELHI,3,1967
545,INDIA 1969: A CRISES OF CONSCIENCE,RAJENDER PURI,204,"RAJENDRA PURI, NEW DELHI",5,1971
546,THE DELHI CODE,…,121,"GOVERNMENT OF INDIA CENTRAL PUBLICATION BRANCH, DELHI",5,1939
547,THE PUNJAB RECORDS,,,"THE CIVIL AND MILITARY GAZETTE PRESS, LAHORE",2,1903
548,SECTION FROM THE DEBATES,GARY P. BOYS,148,"RESEARCH & STATISTICS DIVISION, DEPT OF COMPANY LAW ADMINISTRATION MINISTRY OF COMMERCE & INDUSTRY, GOVERNMENT OF INDIA NEW DELHI",5,1960
549,SOCRATES IN INDIAN VILLAGE,F.L. BRAYNEE,130,HUMPHREY MILFORD OXFORD UNIVERSITY PRESS,5,1929
550,MANUAL OF RULES & PROCEDURE,,,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",5,1917
551,REVENUE DECISIONS,HGDER HUSAIN,260,"THE LAW PUBLISHING HOUSE, ALLAHABAD",3,1896
552,THE INDIAN PARTNERSHIP ACT 1932,OM PRAKASH AGGARWAL,680,"RAJAKAMAL PUBLICATIONS LIMITED LAW PUBLISHERS, NEW DELHI",5,1949
553,GENERAL AGREEMENT ON TRADE & TARRIF,,,"LAKE SUCCESS, NEW YORK",5,1947
554,SLUMS OF OLD DELHI,B. SEWAK SAMAJ DELHI,238,"ATMA RAM & SONS, DELHI",4,1958
555,THE INDIAN FORET RECORDS PART IV,R.S PEARSON,258,"SUPERINTENDENT PRINTING PRESS, CALCUTTA",5,1918
556,STATISTICAL ABSTRACT INDIA 1951-52,…,893,"MANAGER OF PUBLICATIONS, DELHI",3,1953
557,A COLLECTION OF STATUTES RELATING TO INDIA,….,415,"MANAGER OF PUBLICATIONS, DELHI",2,1940
558,REPORT OF INDIAN ELECTION PETITIONS,E.LL.HAMMOND,277,"THE PIONEER PRESS, ALLAHABAD",2,1925
559,PUNJAB CUSTOMARY LAW,C.L. TUPPER,289,"OFFICE OF THE SUPERINTENDENT OF GOVERNMENT PRINTING, CALCUTTA",1,1881
560,SIX SEASONS,BARDD A UKIL,23,"DHOOMI MAL DHARAM DAS, NEW DELHI",1,1953
561,DEMANDS FOR GRANTS FOR THE YEAR 1956-57,…,303,"THE MANAGER, GOVERNMENT OF INDIA PRESS, NEW DELHI",3,
562,PUNJAB LAND ADMINISTRATION ACT,…,185,"THE SUPERINTENDENT, GOVERNMENT PRINTING, LAHORE",1,1916
563,MEMOIR & CORRESSPONDANCE OF GOVERNMENT J.S. FRASER,COL. HASTING FRASER,483,WHITING & CO. LTD. LONDON,3,1885
564,A DICTIONARY OF PERSIAN ARABIC & ENGLISH,,,…,1,
565,TATYA TOPE,SHRI NIVAS BALAJI HARIKAR,258,NATIONAL PUBLISHING HOUSE DELHI,1,
566,NEHRU ON COMMUNALISM,N.L. GUPTA,259,"SUBHADRA JOSHI, SAMPRADAYIKTA VIRODHI COMMITTEE, NEW DELHI",1,1965
567,BHARATRATN TONDON JI VYAKTI AUR KARYA,RANJAN PARMAR,485,"SHAILJA MEHTA, SHAILJA PRAKASHAN, POONA",3,1965
568,CATALOGUE OF PERSIAN MANUSCRIPT,LATE HERMAN ETHE,1374,"SECRETARY OF STATE FOR INDIA IN COUNCIL AT THE CLARENDON PRESS, OXFORD",3,1937
569,SUPPLEMENTS TO GEN STATUTORY RULES ORDER,…,786,"GOVERNMENT OF INDIA, CENTRAL PUBLICATION BRANCH, CALCUTTA",1,1932
570,THE UNREPEATED CENTRAL ACTS,…,456,"THE MANAGER OF PUBLICATION, DELHI",2,1951
571,A COMMENTRY ON THE LAND REVENUE ACT,M.L. AGARWAL,566,"RAM NARAIN LAL, ALLAHABAD",4,1936
572,PROVIDENT SOCIETIES INDUSRIAL WELFARE,E.W. BRABROOK,224,"BLACKIE & SON LIMITED, LONDON",5,1898
573,THE BANKING COMPANIES ACT 1949,R. N. AIYAR,602,"COMPANY LAW INSTITUTE OF INDIA, MADRAS",3,1954
574,SHRI GEORGE PRASHASTI,PT. PARMANAND PANDEY,184,DELHI,4,1935
575,PUNJAB LAND ADMINISTRATION ACT,…,312,LAHORE,2,1910
576,PUNJAB TAX MANUAL,…,,"SUPERINTENDENT GOVERNMENT PRINTING, PUNJAB",1,1942
577,THE LIMITED PARTNERSHIP ACTS,W.H. AGGI,22,"SWEET AND MAXWELL LIMITED, LONDON",2,1908
578,ALL INDIA CRIMINAL COURT MANUAL,P. HARI RAO & S.K. RANGACHARAN,664,"THE LAW PRINTING HOUSE, THE LAWYER'S COMPANY OFFICE, MADRAS",1,1924
579,MANUAL SAFETY REQUIREMENT FOR PUBLIC,…,106,"HIS MAJESTY'S STATIONARY OFFICE, LONDON",5,1935
580,PUNJAB SETTLEMENT MANUAL,JAMES M DOUIE,,"SUPERINTENDENT, GOVERNMENT PRINTING, LAHORE",5,1930
581,THOUGHT AND REFLECTION,R.R. DIWAKAR,307,"SUPERINTENDENT, SECRETARIAT PRESS, PATNA",4,1957
582,A DIGEST OF INDIAN LAW CASES,B.D.BOSE,,"GOVERNMENT PRINTING, CALCUTTA",4,1920
583,A DIGEST OF INDIAN LAW CASES,B.D.BOSE,386,"SUPERINTENDENT, GOVERNMENT PRINTING, CALCUTTA",5,1912
584,THE BENGAL CODE,F.G. WIGLEY,577,"OFFICE OF THE SUPERINTENDENT OF GOVERNMENT PRINTING, CALCUTTA",5,1905
585,ELECTORAL RULES & REGULATION,…,334,"THE MANAGER OFPUBLICATIONS, DELHI",1,1934
586,THE UNITED PROVINCE CODE,…,601,"SUPERINTENDENT, PRINTING AND STATIONARY, UNITED PROVINCES, ALLAHABAD",4,1949
587,KURUKSHETRA KE PRAMUKH TEERTH,…,,"LOK SAMPARK, HARYANA",1,
588,THE CITY OF LAHORE CORPORATION ACT 1941,…,248,"SUPERINTENDENT, GOVERNMENT PRINTING, LAHORE",4,1942
589,QUARTERLY LEGISLATION RECORDER,…,,"SUPERINTENDENT, GOVERNMENT PRINTING, WEST BENGAL GOVERNMENT PRESS",2,1949
590,EQUIPEMENT TABLE OF CIVIL POLICE & JAILS,GOVERNMENT OF INDIA,39,"MANAGER OF PUBLICATIONS, DELHI",2,1933
591,THE INDIA EXPLOSIVES RULES 1914,…,97,…,2,1914
